layer	component	fro	rank	token	token_id	score
21	q_a_proj	5672.8	1	 Mail	34472	748.889
21	q_a_proj	5672.8	2	 Several	22745	747.958
21	q_a_proj	5672.8	3	 hint	30104	734.683
21	q_a_proj	5672.8	4	 hanno	33757	732.001
21	q_a_proj	5672.8	5	 upside	48911	716.195
20	q_a_proj	5543.8	1	 Agriculture	27282	801.329
20	q_a_proj	5543.8	2	MAX	26141	777.224
20	q_a_proj	5543.8	3	 tolerate	51349	741.259
20	q_a_proj	5543.8	4	_EX	60417	727.706
20	q_a_proj	5543.8	5	 Soil	34183	724.965
4	q_a_proj	5522.1	1	 Step	8850	1700.984
4	q_a_proj	5522.1	2	 food	3344	1423.601
4	q_a_proj	5522.1	3	 quantum	17090	1415.348
4	q_a_proj	5522.1	4	 plastic	12843	1304.897
4	q_a_proj	5522.1	5	 health	2195	1231.941
12	q_a_proj	5359.6	1	 sed	10012	711.282
12	q_a_proj	5359.6	2	Just	14827	707.007
12	q_a_proj	5359.6	3	 Right	15759	685.191
12	q_a_proj	5359.6	4	 float	12249	680.284
12	q_a_proj	5359.6	5	 gratitude	34624	661.764
26	q_a_proj	5226.5	1	 Hil	28920	625.957
26	q_a_proj	5226.5	2	 Benefits	24510	600.947
26	q_a_proj	5226.5	3	 relate	22195	600.157
26	q_a_proj	5226.5	4	LAS	91362	598.851
26	q_a_proj	5226.5	5	 grad	14279	595.281
15	q_a_proj	4878.5	1	 mail	17081	634.753
15	q_a_proj	4878.5	2	_pro	20006	615.773
15	q_a_proj	4878.5	3	Orange	95634	592.880
15	q_a_proj	4878.5	4	_NOT	93630	591.288
15	q_a_proj	4878.5	5	 Princip	79814	586.724
16	q_a_proj	4831.2	1	 sangat	36190	620.114
16	q_a_proj	4831.2	2	\\mathbb	36911	578.216
16	q_a_proj	4831.2	3	 rooms	18380	560.511
16	q_a_proj	4831.2	4	 machinery	32385	556.298
16	q_a_proj	4831.2	5	lick	6046	551.401
28	q_a_proj	4757.4	1	Sport	71572	525.956
28	q_a_proj	4757.4	2	 Medium	40838	488.713
28	q_a_proj	4757.4	3	 Angela	57210	455.292
28	q_a_proj	4757.4	4	Port	18277	451.520
28	q_a_proj	4757.4	5	 Sport	24725	436.893
19	q_a_proj	4622.6	1	Legal	76602	559.998
19	q_a_proj	4622.6	2	Attribute	21109	559.893
19	q_a_proj	4622.6	3	.Property	68796	528.131
19	q_a_proj	4622.6	4	catch	41163	525.772
19	q_a_proj	4622.6	5	 della	8340	516.845
17	q_a_proj	4559.5	1	 Tutor	90881	576.563
17	q_a_proj	4559.5	2	 Fred	16708	559.510
17	q_a_proj	4559.5	3	 painful	26985	542.677
17	q_a_proj	4559.5	4	.Parse	48513	538.883
17	q_a_proj	4559.5	5	.findViewById	116447	537.847
11	q_a_proj	4498.6	1	 multicast	123048	567.146
11	q_a_proj	4498.6	2	 cannot	4800	554.881
11	q_a_proj	4498.6	3	ACG	111453	552.677
11	q_a_proj	4498.6	4	 currently	7491	551.057
11	q_a_proj	4498.6	5	 conci	81594	546.293
30	q_a_proj	4468.8	1	 Tech	23880	574.208
30	q_a_proj	4468.8	2	 tech	21351	567.557
30	q_a_proj	4468.8	3	 Ken	14640	546.595
30	q_a_proj	4468.8	4	 encourage	13919	538.887
30	q_a_proj	4468.8	5	 synchronous	66858	538.202
35	q_a_proj	4384.1	1	Finance	96320	490.872
35	q_a_proj	4384.1	2	weak	57699	483.651
35	q_a_proj	4384.1	3	(sp	85455	481.449
35	q_a_proj	4384.1	4	 impress	49426	481.381
35	q_a_proj	4384.1	5	 weak	9196	477.072
25	q_a_proj	4328.4	1	Front	45644	458.250
25	q_a_proj	4328.4	2	views	26248	456.464
25	q_a_proj	4328.4	3	 Prz	83232	455.360
25	q_a_proj	4328.4	4	.dao	93214	438.537
25	q_a_proj	4328.4	5	 Marie	30276	435.586
24	q_a_proj	4291.2	1	.dao	93214	526.869
24	q_a_proj	4291.2	2	 contractor	41906	507.098
24	q_a_proj	4291.2	3	 Coding	66251	461.513
24	q_a_proj	4291.2	4	 coding	20255	460.539
24	q_a_proj	4291.2	5	 Lamb	42231	458.591
18	q_a_proj	4289.9	1	 Ask	26836	472.074
18	q_a_proj	4289.9	2	 Rick	31049	471.218
18	q_a_proj	4289.9	3	 Kun	20991	421.447
18	q_a_proj	4289.9	4	 Mas	15517	419.358
18	q_a_proj	4289.9	5	 Pastor	64215	409.826
32	q_a_proj	4160.1	1	 Ray	17598	498.916
32	q_a_proj	4160.1	2	 Mil	11164	451.278
32	q_a_proj	4160.1	3	Stand	27587	438.722
32	q_a_proj	4160.1	4	 mol	11847	435.388
32	q_a_proj	4160.1	5	 bal	5011	432.303
22	q_a_proj	4151.9	1	 Product	11001	576.475
22	q_a_proj	4151.9	2	 toggle	67851	506.214
22	q_a_proj	4151.9	3	 useState	27832	503.097
22	q_a_proj	4151.9	4	 User	10037	493.685
22	q_a_proj	4151.9	5	User	6756	485.800
23	q_a_proj	3981.8	1	 reb	10308	571.995
23	q_a_proj	3981.8	2	\\pm	51264	450.076
23	q_a_proj	3981.8	3	thank	80619	439.683
23	q_a_proj	3981.8	4	udge	28771	433.849
23	q_a_proj	3981.8	5	amm	4422	428.810
29	q_a_proj	3891.2	1	 Dave	30312	557.415
29	q_a_proj	3891.2	2	 Hotel	25198	434.557
29	q_a_proj	3891.2	3	 dib	25221	428.425
29	q_a_proj	3891.2	4	Dave	89814	426.214
29	q_a_proj	3891.2	5	 happy	8846	411.837
33	q_a_proj	3827.7	1	 PLA	50583	467.511
33	q_a_proj	3827.7	2	 Gab	23663	450.109
33	q_a_proj	3827.7	3	 Fin	5290	438.840
33	q_a_proj	3827.7	4	.se	22740	418.038
33	q_a_proj	3827.7	5	 Stein	35994	416.852
1	q_a_proj	3692.1	1	 Shakespeare	28429	2020.353
1	q_a_proj	3692.1	2	 renewable	24614	1164.172
1	q_a_proj	3692.1	3	akespeare	25909	1043.411
1	q_a_proj	3692.1	4	.St	48097	976.830
1	q_a_proj	3692.1	5	.Un	66181	921.020
27	q_a_proj	3505.6	1	 labeled	28794	364.526
27	q_a_proj	3505.6	2	 Working	21050	363.710
27	q_a_proj	3505.6	3	project	27965	343.139
27	q_a_proj	3505.6	4	 Driving	66688	341.860
27	q_a_proj	3505.6	5	 bulk	22729	333.578
31	q_a_proj	3008.6	1	.User	39740	321.577
31	q_a_proj	3008.6	2	 flights	35183	316.602
31	q_a_proj	3008.6	3	 Hollywood	28874	309.641
31	q_a_proj	3008.6	4	 damp	27640	307.506
31	q_a_proj	3008.6	5	 Who	11780	305.419
0	q_a_proj	2568.7	1	 mountain	16440	466.526
0	q_a_proj	2568.7	2	Just	14827	446.747
0	q_a_proj	2568.7	3	 each	1660	444.194
0	q_a_proj	2568.7	4	 much	1949	440.346
0	q_a_proj	2568.7	5	 yang	4292	433.409
0	q_a_proj	2568.7	1	 italic	19202	1.858
0	q_a_proj	2568.7	2	(np	59396	1.516
0	q_a_proj	2568.7	3	 maintain	4997	1.492
0	q_a_proj	2568.7	4	.apache	36261	1.477
0	q_a_proj	2568.7	5	.core	34587	1.462
